# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL
sulfoacetaldehyde degradation I|PWY-1281|Sulfoacetaldehyde Degradation|Sulfoacetaldehyde-Degradation|0.46328458|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1281
kanosamine biosynthesis II|PWY8J2-22|Kanosamine Biosynthesis|Kanosamine-Biosynthesis|0.47666666|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY8J2-22
purine ribonucleosides degradation|PWY0-1296|||0.48400593|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1296
pyrimidine deoxyribonucleosides salvage|PWY-7199|||0.48545736|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7199
trehalose biosynthesis II|PWY-881|Trehalose Biosynthesis|Trehalose-biosynthesis|0.4903311|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-881
glycogen biosynthesis III (from alpha-maltose 1-phosphate)|PWY-7900|Glycogen and Starch Biosynthesis|GLYCOGEN-BIOSYN|0.5150106|0.875|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7900
succinate to cytochrome bd oxidase electron transfer|PWY0-1353|||0.5419529|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1353
phosphopantothenate biosynthesis I|PANTO-PWY|Phosphopantothenate Biosynthesis|Pantothenate-Biosynthesis|0.5457847|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PANTO-PWY
cardiolipin biosynthesis I|PWY-5668|Cardiolipin Biosynthesis|Cardiolipin-Biosynthesis|0.57084113|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5668
cardiolipin biosynthesis III|PWY0-1545|Cardiolipin Biosynthesis|Cardiolipin-Biosynthesis|0.57084113|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1545
shikimate degradation II|PWY-6419|Shikimate Degradation|Shikimate-Degradation|0.57139266|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6419
L-cysteine biosynthesis I|CYSTSYN-PWY|L-cysteine Biosynthesis|CYSTEINE-SYN|0.57139266|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=CYSTSYN-PWY
NADH to nitrate electron transfer|PWY2O6K-4|||0.58126163|0.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY2O6K-4
nitrate reduction VIIIb (dissimilatory)|PWY0-1573|Nitrate Reduction|Nitrate-Reduction|0.58126163|0.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1573
thiamine diphosphate biosynthesis I (E. coli)|PWY-6894|Thiamine Diphosphate Biosynthesis|Thiamin-Diphosphate-Biosynthesis|0.58126163|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6894
molybdopterin biosynthesis|PWY-6823|||0.5866667|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6823
pyridoxal 5'-phosphate salvage I|PLPSAL-PWY|Vitamin B6 Biosynthesis|Vitamin-B6-Biosynthesis|0.5909083|1.1666666|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PLPSAL-PWY
glycerophosphodiester degradation|PWY-6952|Glycerol Degradation|GLYCEROL-DEG|0.60098094|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6952
glycerol degradation I|PWY-4261|Glycerol Degradation|GLYCEROL-DEG|0.60098094|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4261
D-xylose degradation I|XYLCAT-PWY|D-xylose Degradation|Xylose-Degradation|0.60098094|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=XYLCAT-PWY
putrescine degradation IV|PWY-2|Putrescine Degradation|Putrescine-Degradation|0.60098094|0.6666667|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2
lipoate biosynthesis and incorporation I|PWY0-501|Lipoate Biosynthesis and Salvage|Lipoate-Biosynthesis|0.60098094|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-501
L-fucose degradation I|FUCCAT-PWY|L-Fucose Degradation|L-Fucose-Degradation|0.6177129|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=FUCCAT-PWY
L-threonine biosynthesis|HOMOSER-THRESYN-PWY|L-threonine Biosynthesis|THREONINE-BIOSYNTHESIS|0.6515694|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=HOMOSER-THRESYN-PWY
acyl carrier protein metabolism|PWY-6012|||0.6515694|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6012
molybdenum cofactor biosynthesis|PWY-8171|||0.715|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8171
myo-inositol biosynthesis|PWY-2301|||0.715|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2301
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|PWY-6387|UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis|Acetylmuramoyl-Pentapeptide-Biosynthesis|0.7570967|1.125|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6387
L-rhamnose degradation I|RHAMCAT-PWY|L-rhamnose Degradation|L-rhamnose-Degradation|0.79749995|0.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=RHAMCAT-PWY
shikimate degradation I|SHIKIMATEDEG-PWY|Shikimate Degradation|Shikimate-Degradation|0.8463927|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=SHIKIMATEDEG-PWY
trehalose biosynthesis I|TRESYN-PWY|Trehalose Biosynthesis|Trehalose-biosynthesis|0.8562617|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=TRESYN-PWY
menaquinol-6 biosynthesis|PWY-5849|||0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5849
thiosulfate disproportionation IV (rhodanese)|PWY-5350|Thiosulfate Disproportionation|Thiosulfate-Disproportionation|0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5350
CMP phosphorylation|PWY-7205|||0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7205
L-homocysteine biosynthesis|PWY-5344|||0.88000005|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5344
methylglyoxal degradation IX|PWY-8458|Methylglyoxal Detoxification|Methylglyoxal-Detoxification|0.88000005|7.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8458
factor 420 polyglutamylation|PWY-5199|||0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5199
PRPP biosynthesis|PWY0-662|||0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-662
demethylmenaquinol-8 biosynthesis I|PWY-5852|Demethylmenaquinol-8 Biosynthesis|Demethylmenaquinol-8-Biosynthesis|0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5852
L-alanine degradation IV|PWY1-2|L-alanine Degradation|ALANINE-DEG|0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY1-2
S-(6-hydroxy-4-methylhexan-4-yl)-L-cysteinylglycine degradation|PWY-8302|||0.88000005|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8302
menaquinol-9 biosynthesis|PWY-5844|||0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5844
acyl-CoA hydrolysis|PWY-5148|||0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5148
fructose degradation|PWY0-1314|||0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1314
pyrimidine nucleobases salvage I|PWY-7183|||0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7183
UDP-N-acetyl-alpha-D-mannosamine biosynthesis|PWY-8462|||0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8462
lactose degradation III|BGALACT-PWY|Lactose Degradation|LACTOSE-DEG|0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=BGALACT-PWY
L-asparagine degradation I|ASPARAGINE-DEG1-PWY|L-asparagine Degradation|ASPARAGINE-DEG|0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARAGINE-DEG1-PWY
ATP biosynthesis|PWY-7980|||0.88000005|9.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7980
3-dehydroquinate biosynthesis I|PWY-6164|3-Dehydroquinate Biosynthesis|3-Dehydroquinate-Biosynthesis|0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6164
menaquinol-8 biosynthesis|MENAQUINONESYN-PWY|||0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=MENAQUINONESYN-PWY
di-trans,poly-cis-undecaprenyl phosphate biosynthesis|PWY-5785|||0.88000005|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5785
demethylmenaquinol-6 biosynthesis I|PWY-5853|||0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5853
menaquinol-7 biosynthesis|PWY-5839|||0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5839
demethylmenaquinol-9 biosynthesis|PWY-5851|||0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5851
L-glutamate biosynthesis III|GLUTSYNIII-PWY|L-glutamate Biosynthesis|GLUTAMATE-SYN|0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTSYNIII-PWY
S-methyl-5'-thioadenosine degradation III|PWY-6753|S-methyl-5'-thioadenosine Degradation|Methylthioadenosine-Degradation|0.88000005|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6753
octaprenyl diphosphate biosynthesis|PWY-5783|||0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5783
menaquinol-10 biosynthesis|PWY-5890|||0.88000005|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5890
pyridoxal 5'-phosphate biosynthesis II|PWY-6466|Vitamin B6 Biosynthesis|Vitamin-B6-Biosynthesis|0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6466
N6-L-threonylcarbamoyladenosine37-modified tRNA biosynthesis|PWY0-1587|||0.88000005|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1587
nitrate reduction V (assimilatory)|PWY-5675|Nitrate Reduction|Nitrate-Reduction|0.9265694|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5675
L-proline biosynthesis I (from L-glutamate)|PROSYN-PWY|L-proline Biosynthesis|PROLINE-SYN|0.9888315|0.75|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PROSYN-PWY
guanosine ribonucleotides de novo biosynthesis|PWY-7221|||1.0|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7221
L-histidine biosynthesis|HISTSYN-PWY|L-histidine Biosynthesis|HISTIDINE-SYN|1.0|1.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=HISTSYN-PWY
pyrimidine deoxyribonucleotide phosphorylation|PWY-7197|||1.0|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7197
2-oxoisovalerate decarboxylation to isobutanoyl-CoA|PWY-5046|||1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5046
biotin-carboxyl carrier protein assembly|PWY0-1264|||1.0|2.25|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1264
chorismate biosynthesis from 3-dehydroquinate|PWY-6163|Chorismate Biosynthesis|Chorismate-Biosynthesis|1.0|1.2|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6163
L-methionine biosynthesis II|PWY-702|L-methionine De Novo Biosynthesis|Methionine-De-novo-Biosynthesis|1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-702
L-phenylalanine biosynthesis I|PHESYN|L-phenylalanine Biosynthesis|PHENYLALANINE-SYN|1.0|1.6666666|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PHESYN
pyruvate decarboxylation to acetyl CoA I|PYRUVDEHYD-PWY|||1.0|1.6666666|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PYRUVDEHYD-PWY
UTP and CTP de novo biosynthesis|PWY-7176|||1.0|1.6666666|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7176
pyrimidine deoxyribonucleosides degradation|PWY-7181|||1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7181
pyruvate fermentation to acetate II|PWY-5482|Pyruvate Fermentation to Acetate|Pyruvate-Acetate-Fermentation|1.0|1.3333334|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5482
heme a biosynthesis|PWY-7856|||1.0|0.25|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7856
L-tryptophan biosynthesis|TRPSYN-PWY|L-tryptophan Biosynthesis|TRYPTOPHAN-BIOSYNTHESIS|1.0|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=TRPSYN-PWY
S-adenosyl-L-methionine salvage II|PWY-5041|S-adenosyl-L-methionine Biosynthesis|S-adenosyl-L-methionine-Biosynthesis|1.0|1.3333334|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5041
L-homoserine biosynthesis|HOMOSERSYN-PWY|||1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=HOMOSERSYN-PWY
L-asparagine biosynthesis III (tRNA-dependent)|PWY490-4|L-asparagine Biosynthesis|ASPARAGINE-SYN|1.0|0.75|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY490-4
purine deoxyribonucleosides degradation I|PWY-7179|||1.0|1.75|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7179
ppGpp metabolism|PPGPPMET-PWY|||1.0|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PPGPPMET-PWY
L-lysine biosynthesis I|DAPLYSINESYN-PWY|L-lysine Biosynthesis|LYSINE-SYN|1.0|1.3333334|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=DAPLYSINESYN-PWY
menaquinol-13 biosynthesis|PWY-5895|||1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5895
tetrahydrofolate biosynthesis I|PWY-6614|Folate Biosynthesis|Folate-Biosynthesis|1.0|1.6666666|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6614
2,3-dihydroxybenzoate biosynthesis|PWY-5901|||1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5901
L-serine biosynthesis I|SERSYN-PWY|||1.0|1.3333334|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=SERSYN-PWY
glyoxylate cycle|GLYOXYLATE-BYPASS|||1.0|0.8333333|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYOXYLATE-BYPASS
L-tyrosine biosynthesis I|TYRSYN|L-tyrosine Biosynthesis|TYROSINE-SYN|1.0|1.3333334|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=TYRSYN
pentose phosphate pathway (non-oxidative branch) I|NONOXIPENT-PWY|||1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=NONOXIPENT-PWY
adenine salvage|PWY-6610|Adenine and Adenosine Salvage|Adenine-Adenosine-Salvage|1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6610
adenine and adenosine salvage III|PWY-6609|Adenine and Adenosine Salvage|Adenine-Adenosine-Salvage|1.0|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6609
thiamine diphosphate salvage V|PWY-8457|||1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8457
UDP-N-acetyl-D-glucosamine biosynthesis I|UDPNAGSYN-PWY|UDP-N-acetyl-D-glucosamine Biosynthesis|UDP-NAc-Glucosamine-Biosynthesis|1.0|1.2|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=UDPNAGSYN-PWY
tRNA charging|TRNA-CHARGING-PWY|||1.0|1.0952381|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=TRNA-CHARGING-PWY
quinate degradation II|PWY-6416|Quinate Degradation|Quinate-Degradation|1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6416
quinate degradation I|QUINATEDEG-PWY|Quinate Degradation|Quinate-Degradation|1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=QUINATEDEG-PWY
L-leucine biosynthesis|LEUSYN-PWY|L-leucine Biosynthesis|LEUCINE-SYN|1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=LEUSYN-PWY
L-histidine degradation I|HISDEG-PWY|L-histidine Degradation|HISTIDINE-DEG|1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=HISDEG-PWY
L-idonate degradation|IDNCAT-PWY|||1.0|1.6666666|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=IDNCAT-PWY
menaquinol-11 biosynthesis|PWY-5891|||1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5891
CMP-N-acetylneuraminate biosynthesis II (bacteria)|PWY-6139|CMP-N-acetylneuraminate Biosynthesis|CMP-N-Acetylneuraminate-Biosynthesis|1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6139
trehalose biosynthesis V|PWY-2661|Trehalose Biosynthesis|Trehalose-biosynthesis|1.0|1.3333334|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2661
menaquinol-12 biosynthesis|PWY-5892|||1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5892
L-arginine biosynthesis II (acetyl cycle)|ARGSYNBSUB-PWY|L-arginine Biosynthesis|ARGININE-SYN|1.0|1.3|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ARGSYNBSUB-PWY
adenosine ribonucleotides de novo biosynthesis|PWY-7219|||1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7219
inosine-5'-phosphate biosynthesis I|PWY-6123|Inosine-5'-phosphate Biosynthesis|IMP-Biosynthesis|1.0|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6123
glycine degradation|PWY0-1608|Glycine Degradation|GLYCINE-DEG|1.0|1.3333334|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1608
glycine cleavage|GLYCLEAV-PWY|Glycine Degradation|GLYCINE-DEG|1.0|0.33333334|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYCLEAV-PWY
